satisfaction_id,consult_id,customer_id,survey_date,csat,nps,comment,consult_date,channel,category,duration_min,status,is_recontact,agent_id,region,plan,churn_yn
SAT0001,CON0001,C001,2024-12-07,3,7,,2024-12-06,전화,해지문의,19.0,완료,N,AG15,서울,프리미엄,N
SAT0002,CON0002,C001,2024-01-10,2,7,기대보다 별로였어요.,2024-01-07,전화,장애신고,18.0,완료,N,AG02,서울,프리미엄,N
SAT0003,CON0003,C002,2024-09-04,4,5,,2024-09-02,전화,기타,22.0,완료,N,AG16,경기,스탠다드,N
SAT0004,CON0004,C002,2024-06-26,4,6,도움이 됐습니다.,2024-06-24,채팅,해지문의,7.0,완료,N,AG02,경기,스탠다드,N
SAT0005,CON0005,C002,2024-10-15,4,2,상담사가 친절했어요.,2024-10-13,채팅,부가서비스,8.0,미해결,N,AG03,경기,스탠다드,N
SAT0006,CON0006,C003,2024-04-17,4,4,도움이 됐습니다.,2024-04-15,전화,해지문의,7.0,재문의,N,AG09,경기,프리미엄,N
SAT0007,CON0007,C003,2024-01-22,3,9,보통이에요.,2024-01-19,앱,요금문의,10.0,미해결,N,AG02,경기,프리미엄,N
SAT0008,CON0008,C003,2024-05-03,3,6,그럭저럭이에요.,2024-04-30,채팅,장애신고,13.0,재문의,N,AG06,경기,프리미엄,N
SAT0009,CON0009,C003,2024-03-26,4,7,,2024-03-24,앱,장애신고,7.0,완료,N,AG20,경기,프리미엄,N
SAT0010,CON0010,C004,2024-05-20,5,8,문제가 바로 해결됐어요. 최고입니다.,2024-05-17,전화,기타,22.0,미해결,N,AG13,경기,프리미엄,N
SAT0011,CON0011,C004,2024-11-30,3,6,그럭저럭이에요.,2024-11-29,채팅,해지문의,7.0,완료,N,AG18,경기,프리미엄,N
SAT0012,CON0012,C004,2024-10-15,4,9,,2024-10-12,전화,요금문의,19.0,완료,N,AG01,경기,프리미엄,N
SAT0013,CON0013,C004,2024-11-08,3,6,,2024-11-06,채팅,해지문의,6.0,완료,N,AG17,경기,프리미엄,N
SAT0014,CON0014,C005,2024-04-13,3,4,,2024-04-11,채팅,요금문의,9.0,완료,Y,AG20,서울,프리미엄,N
SAT0015,CON0015,C006,2024-04-04,5,7,문제가 바로 해결됐어요. 최고입니다.,2024-04-01,전화,부가서비스,16.0,완료,N,AG09,서울,스탠다드,N
SAT0016,CON0016,C006,2024-09-18,1,5,,2024-09-15,채팅,명의변경,12.0,완료,N,AG04,서울,스탠다드,N
SAT0017,CON0017,C007,2024-04-07,4,7,,2024-04-04,전화,부가서비스,11.0,완료,N,AG10,부산,프리미엄,N
SAT0018,CON0018,C007,2024-11-14,3,2,그럭저럭이에요.,2024-11-11,채팅,요금문의,9.0,재문의,N,AG11,부산,프리미엄,N
SAT0019,CON0019,C008,2024-06-07,5,5,,2024-06-04,전화,해지문의,17.0,완료,N,AG08,인천,스탠다드,N
SAT0020,CON0020,C008,2024-06-22,3,6,해결은 됐는데 시간이 좀 걸렸어요.,2024-06-20,채팅,요금문의,9.0,완료,N,AG02,인천,스탠다드,N
SAT0021,CON0021,C008,2024-10-28,3,6,보통이에요.,2024-10-25,앱,요금문의,8.0,미해결,Y,AG06,인천,스탠다드,N
SAT0022,CON0022,C009,2024-01-07,5,7,정말 친절하게 도와주셔서 감사해요!,2024-01-04,전화,요금문의,15.0,완료,N,AG05,서울,스탠다드,N
SAT0023,CON0023,C009,2024-03-26,4,5,도움이 됐습니다.,2024-03-24,전화,해지문의,18.0,완료,N,AG03,서울,스탠다드,N
SAT0024,CON0024,C010,2024-05-24,4,5,상담사가 친절했어요.,2024-05-22,앱,부가서비스,7.0,완료,N,AG10,서울,프리미엄,N
SAT0025,CON0025,C010,2024-12-27,5,5,,2024-12-24,채팅,요금문의,10.0,완료,N,AG11,서울,프리미엄,N
SAT0026,CON0026,C010,2024-12-19,3,7,,2024-12-17,전화,요금문의,14.0,완료,N,AG02,서울,프리미엄,N
SAT0027,CON0027,C010,2024-07-16,3,9,해결은 됐는데 시간이 좀 걸렸어요.,2024-07-13,전화,부가서비스,23.0,완료,N,AG09,서울,프리미엄,N
SAT0028,CON0028,C011,2024-07-20,1,5,너무 불만족스러워요.,2024-07-19,채팅,기타,5.0,완료,Y,AG04,서울,베이직,Y
SAT0029,CON0029,C011,2024-06-19,2,6,,2024-06-17,이메일,기타,,미해결,N,AG09,서울,베이직,Y
SAT0030,CON0030,C011,2024-06-29,5,5,,2024-06-26,이메일,해지문의,,재문의,Y,AG13,서울,베이직,Y
SAT0031,CON0031,C011,2024-07-22,2,4,기대보다 별로였어요.,2024-07-20,이메일,기타,,완료,N,AG09,서울,베이직,Y
SAT0032,CON0032,C011,2024-07-11,4,1,도움이 됐습니다.,2024-07-10,채팅,기타,9.0,완료,Y,AG06,서울,베이직,Y
SAT0033,CON0033,C011,2024-07-15,4,6,도움이 됐습니다.,2024-07-14,전화,요금문의,28.0,재문의,Y,AG01,서울,베이직,Y
SAT0034,CON0034,C011,2024-06-30,3,6,그럭저럭이에요.,2024-06-28,전화,해지문의,8.0,완료,Y,AG16,서울,베이직,Y
SAT0035,CON0035,C011,2024-06-29,5,5,,2024-06-28,채팅,명의변경,7.0,완료,N,AG09,서울,베이직,Y
SAT0036,CON0036,C012,2024-03-03,3,6,해결은 됐는데 시간이 좀 걸렸어요.,2024-02-29,전화,해지문의,17.0,완료,N,AG05,부산,스탠다드,N
SAT0037,CON0037,C012,2024-08-27,5,4,,2024-08-26,전화,해지문의,12.0,완료,N,AG14,부산,스탠다드,N
SAT0038,CON0038,C012,2024-11-30,4,6,,2024-11-28,전화,기타,31.0,완료,N,AG17,부산,스탠다드,N
SAT0039,CON0039,C012,2024-11-19,4,5,상담사가 친절했어요.,2024-11-18,채팅,장애신고,9.0,완료,Y,AG10,부산,스탠다드,N
SAT0040,CON0040,C013,2024-12-02,4,8,대체로 만족스러웠어요.,2024-12-01,전화,부가서비스,23.0,완료,N,AG17,인천,스탠다드,N
SAT0041,CON0041,C013,2024-05-07,1,5,전혀 해결이 안 됐어요.,2024-05-06,이메일,해지문의,,미해결,N,AG08,인천,스탠다드,N
SAT0042,CON0042,C013,2024-10-07,3,5,,2024-10-04,채팅,장애신고,7.0,완료,Y,AG04,인천,스탠다드,N
SAT0043,CON0043,C014,2024-04-11,3,6,해결은 됐는데 시간이 좀 걸렸어요.,2024-04-08,전화,장애신고,21.0,완료,N,AG03,서울,베이직,N
SAT0044,CON0044,C015,2024-06-18,4,5,대체로 만족스러웠어요.,2024-06-15,앱,해지문의,0.0,재문의,Y,AG02,대구,프리미엄,N
SAT0045,CON0045,C015,2024-07-24,4,7,대체로 만족스러웠어요.,2024-07-21,전화,요금문의,32.0,완료,Y,AG10,대구,프리미엄,N
SAT0046,CON0046,C015,2024-08-10,4,7,대체로 만족스러웠어요.,2024-08-07,전화,부가서비스,25.0,완료,N,AG12,대구,프리미엄,N
SAT0047,CON0047,C016,2024-08-07,3,6,,2024-08-05,앱,명의변경,7.0,완료,Y,AG09,경기,프리미엄,N
SAT0048,CON0048,C016,2024-12-09,2,4,,2024-12-08,이메일,요금문의,,미해결,Y,AG04,경기,프리미엄,N
SAT0049,CON0049,C016,2024-09-22,4,8,,2024-09-21,전화,해지문의,19.0,완료,N,AG11,경기,프리미엄,N
SAT0050,CON0050,C016,2024-02-20,4,6,,2024-02-18,전화,부가서비스,27.0,완료,N,AG16,경기,프리미엄,N
SAT0051,CON0051,C017,2024-10-31,4,7,대체로 만족스러웠어요.,2024-10-29,전화,장애신고,12.0,완료,N,AG10,경기,프리미엄,N
SAT0052,CON0052,C017,2024-07-09,5,6,,2024-07-08,전화,해지문의,24.0,완료,N,AG03,경기,프리미엄,N
SAT0053,CON0053,C017,2024-09-24,3,6,해결은 됐는데 시간이 좀 걸렸어요.,2024-09-22,채팅,요금문의,5.0,미해결,N,AG06,경기,프리미엄,N
SAT0054,CON0054,C018,2024-03-17,4,7,상담사가 친절했어요.,2024-03-16,채팅,요금문의,12.0,미해결,N,AG15,서울,스탠다드,N
SAT0055,CON0055,C018,2024-06-06,3,2,해결은 됐는데 시간이 좀 걸렸어요.,2024-06-03,전화,장애신고,17.0,완료,N,AG18,서울,스탠다드,N
SAT0056,CON0056,C019,2024-10-11,3,6,,2024-10-09,전화,요금문의,17.0,완료,N,AG09,부산,스탠다드,N
SAT0057,CON0057,C019,2024-10-21,5,9,정말 친절하게 도와주셔서 감사해요!,2024-10-18,전화,요금문의,20.0,완료,N,AG18,부산,스탠다드,N
SAT0058,CON0058,C019,2024-04-02,4,6,대체로 만족스러웠어요.,2024-04-01,채팅,요금문의,10.0,완료,Y,AG15,부산,스탠다드,N
SAT0059,CON0059,C020,2024-03-11,4,4,대체로 만족스러웠어요.,2024-03-09,전화,부가서비스,20.0,완료,N,AG02,경기,스탠다드,N
SAT0060,CON0060,C021,2024-03-01,3,4,그럭저럭이에요.,2024-02-29,채팅,부가서비스,8.0,완료,N,AG07,경기,스탠다드,N
SAT0061,CON0061,C022,2024-07-07,2,6,개선이 필요한 것 같아요.,2024-07-04,이메일,기타,,완료,N,AG14,인천,프리미엄,N
SAT0062,CON0062,C022,2024-06-01,4,10,상담사가 친절했어요.,2024-05-29,전화,명의변경,12.0,완료,N,AG18,인천,프리미엄,N
SAT0063,CON0063,C022,2024-09-09,4,7,도움이 됐습니다.,2024-09-06,전화,요금문의,16.0,완료,Y,AG16,인천,프리미엄,N
SAT0064,CON0064,C023,2024-08-29,2,5,개선이 필요한 것 같아요.,2024-08-26,채팅,기타,7.0,완료,Y,AG07,경기,베이직,Y
SAT0065,CON0065,C023,2024-09-19,3,1,,2024-09-16,앱,요금문의,7.0,완료,N,AG15,경기,베이직,Y
SAT0066,CON0066,C023,2024-08-23,1,1,,2024-08-20,이메일,해지문의,,미해결,N,AG18,경기,베이직,Y
SAT0067,CON0067,C023,2024-09-29,3,5,,2024-09-27,전화,요금문의,23.0,완료,N,AG02,경기,베이직,Y
SAT0068,CON0068,C024,2024-04-19,4,3,,2024-04-17,전화,요금문의,19.0,완료,N,AG11,경기,베이직,N
SAT0069,CON0069,C024,2024-08-09,2,2,기대보다 별로였어요.,2024-08-06,이메일,장애신고,,완료,N,AG03,경기,베이직,N
SAT0070,CON0070,C024,2024-11-24,5,7,정말 친절하게 도와주셔서 감사해요!,2024-11-21,앱,장애신고,2.0,완료,N,AG18,경기,베이직,N
SAT0071,CON0071,C025,2024-03-03,3,7,그럭저럭이에요.,2024-03-01,채팅,요금문의,3.0,완료,Y,AG08,인천,베이직,N
SAT0072,CON0072,C025,2024-04-06,3,5,해결은 됐는데 시간이 좀 걸렸어요.,2024-04-04,이메일,요금문의,,재문의,Y,AG16,인천,베이직,N
SAT0073,CON0073,C026,2024-01-28,4,6,도움이 됐습니다.,2024-01-27,앱,요금문의,6.0,완료,N,AG09,서울,스탠다드,N
SAT0074,CON0074,C026,2024-02-01,5,5,빠른 처리에 매우 만족합니다.,2024-01-30,채팅,부가서비스,6.0,완료,N,AG17,서울,스탠다드,N
SAT0075,CON0075,C026,2024-11-19,4,7,도움이 됐습니다.,2024-11-18,채팅,해지문의,2.0,완료,N,AG20,서울,스탠다드,N
SAT0076,CON0076,C027,2024-04-16,2,6,개선이 필요한 것 같아요.,2024-04-14,채팅,명의변경,6.0,미해결,N,AG14,서울,프리미엄,N
SAT0077,CON0077,C027,2024-06-22,3,8,그럭저럭이에요.,2024-06-21,전화,장애신고,18.0,완료,N,AG20,서울,프리미엄,N
SAT0078,CON0078,C027,2024-11-05,3,8,보통이에요.,2024-11-04,전화,장애신고,22.0,완료,Y,AG08,서울,프리미엄,N
SAT0079,CON0079,C028,2024-06-18,5,6,빠른 처리에 매우 만족합니다.,2024-06-17,앱,장애신고,5.0,완료,N,AG06,서울,스탠다드,N
SAT0080,CON0080,C028,2024-12-02,2,6,처리가 느렸어요.,2024-11-29,채팅,장애신고,6.0,미해결,N,AG06,서울,스탠다드,N
SAT0081,CON0081,C029,2024-06-29,5,6,,2024-06-28,전화,장애신고,11.0,재문의,N,AG16,기타,프리미엄,N
SAT0082,CON0082,C030,2024-01-10,4,4,상담사가 친절했어요.,2024-01-09,앱,기타,6.0,완료,N,AG19,경기,스탠다드,N
SAT0083,CON0083,C030,2024-03-23,4,3,대체로 만족스러웠어요.,2024-03-22,이메일,요금문의,,미해결,Y,AG19,경기,스탠다드,N
SAT0084,CON0084,C030,2024-04-03,3,7,그럭저럭이에요.,2024-04-01,전화,장애신고,20.0,완료,N,AG08,경기,스탠다드,N
SAT0085,CON0085,C030,2024-03-13,4,10,,2024-03-11,전화,해지문의,30.0,완료,Y,AG20,경기,스탠다드,N
SAT0086,CON0086,C031,2024-06-22,5,5,,2024-06-19,채팅,장애신고,5.0,완료,N,AG03,대구,프리미엄,N
SAT0087,CON0087,C031,2024-07-19,3,10,해결은 됐는데 시간이 좀 걸렸어요.,2024-07-18,전화,부가서비스,9.0,완료,Y,AG07,대구,프리미엄,N
SAT0088,CON0088,C031,2024-09-09,5,7,,2024-09-06,전화,요금문의,20.0,재문의,N,AG19,대구,프리미엄,N
SAT0089,CON0089,C032,2024-11-03,4,6,도움이 됐습니다.,2024-10-31,전화,요금문의,13.0,완료,N,AG05,서울,스탠다드,Y
SAT0090,CON0090,C032,2024-10-20,2,6,,2024-10-17,채팅,명의변경,8.0,완료,N,AG07,서울,스탠다드,Y
SAT0091,CON0091,C032,2024-11-04,1,3,전혀 해결이 안 됐어요.,2024-11-02,앱,요금문의,7.0,완료,N,AG05,서울,스탠다드,Y
SAT0092,CON0092,C033,2024-09-29,2,3,개선이 필요한 것 같아요.,2024-09-27,채팅,기타,8.0,재문의,Y,AG04,부산,프리미엄,N
SAT0093,CON0093,C033,2024-09-29,2,9,기대보다 별로였어요.,2024-09-26,전화,요금문의,20.0,완료,N,AG03,부산,프리미엄,N
SAT0094,CON0094,C033,2024-11-22,4,10,도움이 됐습니다.,2024-11-20,앱,요금문의,6.0,미해결,N,AG09,부산,프리미엄,N
SAT0095,CON0095,C033,2024-05-02,3,6,그럭저럭이에요.,2024-04-30,전화,요금문의,21.0,완료,N,AG09,부산,프리미엄,N
SAT0096,CON0096,C034,2024-08-16,5,8,,2024-08-15,전화,장애신고,15.0,완료,N,AG20,경기,프리미엄,N
SAT0097,CON0097,C034,2024-03-18,5,9,빠른 처리에 매우 만족합니다.,2024-03-15,앱,요금문의,7.0,완료,N,AG13,경기,프리미엄,N
SAT0098,CON0098,C035,2024-05-30,3,6,그럭저럭이에요.,2024-05-29,앱,장애신고,8.0,미해결,N,AG13,대구,베이직,N
SAT0099,CON0099,C036,2024-04-01,3,6,그럭저럭이에요.,2024-03-30,전화,요금문의,14.0,완료,N,AG10,서울,스탠다드,N
SAT0100,CON0100,C036,2024-07-28,4,2,상담사가 친절했어요.,2024-07-26,전화,해지문의,19.0,완료,N,AG14,서울,스탠다드,N
SAT0101,CON0101,C037,2024-02-06,4,6,,2024-02-05,전화,요금문의,15.0,재문의,N,AG17,경기,베이직,N
SAT0102,CON0102,C038,2024-03-10,4,5,,2024-03-07,전화,요금문의,21.0,완료,N,AG14,서울,프리미엄,N
SAT0103,CON0103,C038,2024-02-16,2,5,,2024-02-13,채팅,장애신고,8.0,완료,N,AG09,서울,프리미엄,N
SAT0104,CON0104,C039,2024-11-27,4,4,상담사가 친절했어요.,2024-11-25,전화,명의변경,20.0,미해결,N,AG13,서울,스탠다드,N
SAT0105,CON0105,C039,2024-03-03,3,5,그럭저럭이에요.,2024-03-02,이메일,요금문의,,완료,N,AG08,서울,스탠다드,N
SAT0106,CON0106,C039,2024-12-13,3,8,그럭저럭이에요.,2024-12-10,채팅,요금문의,11.0,완료,Y,AG18,서울,스탠다드,N
SAT0107,CON0107,C040,2024-09-23,3,9,보통이에요.,2024-09-21,채팅,부가서비스,5.0,완료,Y,AG19,인천,베이직,N
SAT0108,CON0108,C041,2024-02-18,5,4,,2024-02-16,전화,요금문의,27.0,완료,N,AG06,기타,스탠다드,N
SAT0109,CON0109,C042,2024-01-03,2,8,,2024-01-01,채팅,기타,6.0,완료,N,AG03,서울,프리미엄,N
SAT0110,CON0110,C042,2024-07-26,3,7,그럭저럭이에요.,2024-07-25,채팅,명의변경,11.0,재문의,N,AG03,서울,프리미엄,N
SAT0111,CON0111,C043,2024-03-19,2,8,기대보다 별로였어요.,2024-03-18,앱,장애신고,7.0,재문의,Y,AG09,인천,스탠다드,N
SAT0112,CON0112,C043,2024-02-13,5,6,정말 친절하게 도와주셔서 감사해요!,2024-02-11,전화,해지문의,22.0,완료,N,AG05,인천,스탠다드,N
SAT0113,CON0113,C043,2024-02-24,3,5,그럭저럭이에요.,2024-02-21,전화,요금문의,23.0,완료,N,AG09,인천,스탠다드,N
SAT0114,CON0114,C043,2024-05-29,2,7,개선이 필요한 것 같아요.,2024-05-27,전화,기타,28.0,완료,N,AG11,인천,스탠다드,N
